,id,name,type,summary,difficulty,stars,starVotes,location,url,length,ascent,descent,high,low,longitude,latitude,conditionStatus,conditionDetails,conditionDate,popular_vote
0,7021990,Seasonal Wetland Loop,Hike,A scenic loop around one of the wetland areas in Yolo Basin on a wide path with wildlife viewing.,Easy,3.5,2,"Davis, California",https://www.hikingproject.com/trail/7021990/seasonal-wetland-loop,3.1,10,-12,17,11,-121.6261,38.5505,Unknown,,1970-01-01 00:00:00,7.0
1,7089186,Nature Loop,Hike,A common loop that explores the park.,Easy/Intermediate,5.0,1,"Carmichael, California",https://www.hikingproject.com/trail/7089186/nature-loop,1.6,21,-20,77,69,-121.3127,38.6168,Unknown,,1970-01-01 00:00:00,5.0
2,7023706,Cosumnes Nature Loop,Hike,A nature-watcher's delight that follows trails through the Cosumnes River Preserve.,Easy,4.0,9,"Thornton, California",https://www.hikingproject.com/trail/7023706/cosumnes-nature-loop,4.0,88,-84,51,9,-121.4403,38.2657,Unknown,,1970-01-01 00:00:00,36.0
3,7016942,Lake Natoma Loop,Hike,Hike around Lake Natoma on bike paths with an option for singletrack.,Easy/Intermediate,4.2,9,"Folsom, California",https://www.hikingproject.com/trail/7016942/lake-natoma-loop,12.0,293,-294,194,110,-121.1804,38.6766,Unknown,,1970-01-01 00:00:00,37.800000000000004
4,7027546,Traylor Ranch Bird Sanctuary,Hike,There are lots of birds to see and lots of loop trails to make your own path through the sanctuary.,Easy,2.0,3,"Loomis, California",https://www.hikingproject.com/trail/7027546/traylor-ranch-bird-sanctuary,3.2,65,-65,430,396,-121.2058,38.8485,Unknown,,1970-01-01 00:00:00,6.0
5,7003896,Stebbins Cold Canyon Loop,Hike,A challenging trail with a great view of Lake Berryessa from the top.,Intermediate/Difficult,4.3,29,"Winters, California",https://www.hikingproject.com/trail/7003896/stebbins-cold-canyon-loop,5.1,1413,-1409,1539,231,-122.097,38.5119,Unknown,,1970-01-01 00:00:00,124.69999999999999
6,7018582,Hidden Falls Loop,Hike,A loop with waterfalls that are tucked away and only visible once you reach viewing decks.,Intermediate,4.0,9,"North Auburn, California",https://www.hikingproject.com/trail/7018582/hidden-falls-loop,8.6,811,-812,982,431,-121.1644,38.9589,Unknown,,1970-01-01 00:00:00,36.0
7,7003413,Cronan Ranch Loop,Hike,An enjoyable hike with spectacular views of the Sierra Foothills and South Fork of the American River.,Easy/Intermediate,4.2,18,"Auburn Lake Trails, California",https://www.hikingproject.com/trail/7003413/cronan-ranch-loop,6.2,771,-760,1231,618,-120.9889,38.826,All Clear,Dry,2019-11-24 05:19:55,75.60000000000001
8,7070912,Black Hole of Calcutta Falls,Hike,"An easy, popular, scenic trail that is great for families or older folks.",Easy/Intermediate,4.0,5,"Auburn, California",https://www.hikingproject.com/trail/7070912/black-hole-of-calcutta-falls,2.1,121,-122,701,600,-121.04,38.915,All Clear,Dry,2020-01-25 19:34:02,20.0
9,7019896,Training Hill to Pig Farm to Robie Trail Loop,Hike,"After climbing half of Training Hill, this merciful loop returns via Pig Farm Trail.",Intermediate/Difficult,4.0,4,"Auburn, California",https://www.hikingproject.com/trail/7019896/training-hill-to-pig-farm-to-robie-trail-loop,2.6,752,-751,1358,612,-121.0399,38.9151,Unknown,,1970-01-01 00:00:00,16.0
10,7089210,Marshall Monument Loop,Hike,A fun and educational loop.,Intermediate,5.0,2,"Placerville, California",https://www.hikingproject.com/trail/7089210/marshall-monument-loop,3.5,600,-585,1263,746,-120.8928,38.8016,All Clear,Some Mud,2019-12-29 13:43:37,10.0
11,7089771,Foresthill Divide Loop,Hike,"A popular loop with hikers, runners and bikers.",Easy/Intermediate,5.0,1,"Auburn Lake Trails, California",https://www.hikingproject.com/trail/7089771/foresthill-divide-loop,11.2,1087,-1087,1905,1578,-120.9824,38.9427,Unknown,,1970-01-01 00:00:00,5.0
12,7063430,Independence Flat Trail Loop,Hike,Segment of the Mokelumne Coast to Crest Trail features river access and historic remains built during the gold rush.,Intermediate,5.0,1,"Jackson, California",https://www.hikingproject.com/trail/7063430/independence-flat-trail-loop,4.3,754,-753,1193,593,-120.7497,38.2973,Unknown,,1970-01-01 00:00:00,5.0
13,7090995,Zim Zim Falls,Hike,A pleasant hike to a waterfall.,Easy/Intermediate,5.0,1,"Middletown, California",https://www.hikingproject.com/trail/7090995/zim-zim-falls,7.8,634,-634,1184,717,-122.2836,38.7519,Unknown,,1970-01-01 00:00:00,5.0
14,7037154,Fleming Meadow Trail #8,Hike,Enjoy a beautiful loop in the trees in the Pollock Pines area of the Sierra.,Intermediate,4.1,8,"Pollock Pines, California",https://www.hikingproject.com/trail/7037154/fleming-meadow-trail-8,7.2,1018,-1024,4107,3589,-120.5452,38.7088,Unknown,,1970-01-01 00:00:00,32.8
15,7041580,Miwok Trail / Hardy Canyon Trail Loop,Hike,A great loop through Round Valley Regional Preserve.,Easy/Intermediate,4.0,3,"Byron, California",https://www.hikingproject.com/trail/7041580/miwok-trail-hardy-canyon-trail-loop,4.8,955,-954,1058,228,-121.7503,37.8684,All Clear,Some Mud - Cow abs horse poop is prominent.,2019-12-26 18:45:33,12.0
16,7023190,Stevens Trail,Hike,"This 7.7-mile out-and-back, moderately difficult trail will provide you with historical sights and spectacular views.",Intermediate,4.5,27,"Colfax, California",https://www.hikingproject.com/trail/7023190/stevens-trail,7.7,1275,-1276,2384,1253,-120.9472,39.1056,Unknown,,1970-01-01 00:00:00,121.5
17,7000155,Vista Loop Trail,Hike,Enjoyable jaunt affording views and a sense of the Sugarloaf Ridge Park area.,Easy/Intermediate,3.7,3,"Kenwood, California",https://www.hikingproject.com/trail/7000155/vista-loop-trail,3.6,772,-739,1933,1242,-122.5085,38.4367,Unknown,,1970-01-01 00:00:00,11.100000000000001
18,7000146,Bald Mountain Loop,Hike,Mediocre dirt roads and some singletrack trail lead to the finest views in Sonoma.,Intermediate/Difficult,4.0,9,"Kenwood, California",https://www.hikingproject.com/trail/7000146/bald-mountain-loop,7.0,1794,-1798,2726,1206,-122.5141,38.438,Unknown,,1970-01-01 00:00:00,36.0
19,7004254,Mount Hood via Goodspeed Trail,Hike,From redwoods to chapparal to grassland to oak forest to HUGE views - this has it all!,Intermediate,4.3,7,"Kenwood, California",https://www.hikingproject.com/trail/7004254/mount-hood-via-goodspeed-trail,6.1,1982,-1982,2580,752,-122.5317,38.4425,Unknown,,1970-01-01 00:00:00,30.099999999999998
20,7041523,Mount Diablo Four Peaks Loop,Hike,"This long, challenging hike visits Mount Diablo and three other summits.",Intermediate/Difficult,4.6,10,"Clayton, California",https://www.hikingproject.com/trail/7041523/mount-diablo-four-peaks-loop,15.4,4406,-4404,3808,541,-121.927,37.9221,All Clear,,2020-02-08 12:08:02,46.0
21,7042934,Mount Diablo Falls Loop,Hike,This rugged and scenic hike explores the waterfalls around the headwaters of Donner Creek.,Intermediate/Difficult,4.7,15,"Clayton, California",https://www.hikingproject.com/trail/7042934/mount-diablo-falls-loop,5.4,1107,-1105,1648,542,-121.9271,37.9221,All Clear,Dry,2020-02-15 14:28:53,70.5
22,7040977,Mount Diablo Summit Loop - North,Hike,This strenuous loop hike tours Mount Diablo's ridges and canyons with a stop at the summit.,Intermediate/Difficult,4.1,10,"Clayton, California",https://www.hikingproject.com/trail/7040977/mount-diablo-summit-loop-north,13.7,3378,-3369,3774,573,-121.9415,37.9204,All Clear,Mostly Dry,2020-01-11 10:48:42,41.0
23,7040999,Eagle Peak Loop,Hike,A moderate loop hike to a surprisingly dramatic summit near Mount Diablo.,Intermediate/Difficult,4.1,7,"Clayton, California",https://www.hikingproject.com/trail/7040999/eagle-peak-loop,6.5,1983,-1983,2352,631,-121.9415,37.9204,Unknown,,1970-01-01 00:00:00,28.699999999999996
24,7029945,Annadel Park Channel Drive Loop,Hike,"Beautiful scenery, challenging terrain, and a great hill workout all in about an hour. What more could you ask for?!",Easy/Intermediate,3.3,3,"Santa Rosa, California",https://www.hikingproject.com/trail/7029945/annadel-park-channel-drive-loop,5.0,671,-667,842,333,-122.6384,38.4566,Unknown,,1970-01-01 00:00:00,9.899999999999999
25,7023057,Ohlone-Crystyl Ranch Loop,Hike,Enjoy sweeping views of the Walnut Creek and Concord areas on this hike located just off Ygnacio Rd.,Easy/Intermediate,2.8,5,"Clayton, California",https://www.hikingproject.com/trail/7023057/ohlone-crystyl-ranch-loop,5.5,734,-747,861,372,-121.9925,37.9467,Unknown,,1970-01-01 00:00:00,14.0
26,7004382,Sonoma Overlook Trail,Hike,Quick and easy trip just above Sonoma with great views.,Easy/Intermediate,4.3,3,"Sonoma, California",https://www.hikingproject.com/trail/7004382/sonoma-overlook-trail,2.4,372,-372,509,137,-122.4571,38.2997,Minor Issues,"Mostly Dry, Some Mud",2019-12-28 20:45:52,12.899999999999999
27,7012637,Juniper to Summit Loop,Hike,A combination of steep climbs and descents with stunning views of the San Francisco Bay Area.,Intermediate,3.8,13,"Diablo, California",https://www.hikingproject.com/trail/7012637/juniper-to-summit-loop,6.6,1737,-1727,3586,2040,-121.9312,37.8765,All Clear,"Mostly Dry - A $10 day use fee, plus a $96 parking ticket if you don't get back to your car by sunset. Have a nice day!",2019-12-29 05:32:21,49.4
28,7017781,North Sonoma Mtn Trailhead to Sonoma Mtn Peak,Hike,A gorgeous route including views of Bennett Valley on the way up to the peak of Sonoma Mountain.,Easy/Intermediate,3.8,6,"Eldridge, California",https://www.hikingproject.com/trail/7017781/north-sonoma-mtn-trailhead-to-sonoma-mtn-peak,9.7,1747,-1748,2363,1066,-122.6044,38.3635,Unknown,,1970-01-01 00:00:00,22.799999999999997
29,7033788,Tour de Table Mountain - Phantom Falls Loop,Hike,Enjoy a tour of the best places in North Table Mountain Ecological Reserve.,Easy/Intermediate,4.6,9,"Oroville, California",https://www.hikingproject.com/trail/7033788/tour-de-table-mountain-phantom-falls-loop,6.9,783,-783,1332,920,-121.5418,39.596,Unknown,,1970-01-01 00:00:00,41.4
30,7030209,Mt. Diablo Summit Loop - South,Hike,A long loop hike through Mt. Diablo Foothills and to the summit of Mt. Diablo.,Intermediate/Difficult,4.8,8,"Diablo, California",https://www.hikingproject.com/trail/7030209/mt-diablo-summit-loop-south,16.0,3679,-3678,3725,616,-121.9788,37.8627,Minor Issues,Muddy - Muddy and slippery for first 4 miles but improves after that,2020-01-30 14:05:48,38.4
31,7054001,Stage Road Loop,Hike,"Pretty, moderate loop combining views of Wall Point, Mt. Diablo, and valley creek bed.",Easy/Intermediate,3.0,1,"Diablo, California",https://www.hikingproject.com/trail/7054001/stage-road-loop,4.1,590,-585,878,483,-121.9789,37.8626,Minor Issues,Some Mud,2020-01-19 23:55:57,3.0
32,7011686,Taylor Mountain,Hike,A lovely short hike with great views and oak forest trails.,Intermediate,3.9,8,"Roseland, California",https://www.hikingproject.com/trail/7011686/taylor-mountain,5.1,1155,-1154,1360,206,-122.6973,38.4046,Unknown,,1970-01-01 00:00:00,31.2
33,7041656,Craig Canyon-Thompson Canyon Loop,Hike,"This is an easy-to-follow loop around Cache Creek Wilderness, with a chance to see tule elk.",Intermediate,4.0,1,"Arbuckle, California",https://www.hikingproject.com/trail/7041656/craig-canyon-thompson-canyon-loop,9.8,1309,-1309,1674,1012,-122.3544,38.9985,Unknown,,1970-01-01 00:00:00,4.0
34,7022229,Briones Regional Park Loop,Hike,A lovely hike in Briones Regional Park that is outstanding when the wildflowers are in bloom.,Intermediate,3.8,4,"Pleasant Hill, California",https://www.hikingproject.com/trail/7022229/briones-regional-park-loop,9.6,1503,-1502,1352,679,-122.1353,37.9541,Unknown,,1970-01-01 00:00:00,15.2
35,7042274,Ridgeline Loop,Hike,A loop hike along the lake and on top of the ridge.,Easy/Intermediate,4.0,3,"Livermore, California",https://www.hikingproject.com/trail/7042274/ridgeline-loop,4.8,565,-545,1138,713,-121.7035,37.5866,Unknown,,1970-01-01 00:00:00,12.0
